"uuid","grsf_name","grsf_semantic_id","short_name","type","status","parent_areas","sdg_flag","jurisdictional_distribution","firms_code","ram_code","fishsource_code","FAO_SDG14_4_1_questionnaire_code"
"51adec97-42cc-34ad-b341-ce36e1da1d38","Genypterus blacodes - Pink cusk eel Southern Chile","asfis:CUS+grsf:CHL_EEZ_SPDA_CUS","Pink cusk-eel Southern Chile","assessment unit","approved","fao:87","true",,,"PCEELSCH","1686","sdg-chl-7"
"092abe4e-2f37-34e8-b6ae-b43fc8f19ecd","Oncorhynchus gorbuscha - Pink salmon Ch/Vedder","asfis:PIN+grsf:Canada_DFO_CHV","Pink Salmon Ch/Vedder","assessment unit","approved","fao:67","false",,,"PSALMCHV",,
"8498af39-12fa-34cf-a052-907f824c1cfd","Euthynnus affinis - Philippines FMA 11","asfis:KAW+phl_fma:11","Kawakawa - Philippines FMA 4","marine resource","approved","fao:71","false",,,,"2573",
"d4a631f4-e566-3e07-bbd3-25faa16851d5","Palinurus gilchristi - Indian Ocean, West / 51.8","asfis:SLS+fao:51.8","Southern spiny lobster - South Africa Eastern","assessment unit","approved","fao:58;fao:51;fao:47","false","Shared between nations","13554",,,
"f83090db-834e-3880-801a-1bae874f0801","Panulirus ornatus - Kenya","asfis:NUR+eez:KEN","Rock and spiny lobsters - Kenya","assessment unit","approved",,"false","Straddling between High Seas and EEZ","13368",,,
"a822ba5e-d414-3be3-8699-be923f12d606","Merlangius merlangus - Skagerrak and Kattegat (Division 27.3.a)","asfis:WHG+fao:27.3.a","Whiting - Skagerrak and Kattegat","assessment unit","approved","fao:27","false",,"10367","WHITIIIa","1510","sdg-dnk-nor-swe-3"
"bbe8ce65-520f-3b86-907e-b2586c466e9e","Merlangius merlangus - Western English Channel (Division 27.7.e) - Porcupine Bank (Division 27.7.c) - West of Ireland (Division 27.7.b) - Celtic Sea South (Division 27.7.h) - Celtic Sea North (Division 27.7.g) - Bristol Channel (Division 27.7.f) - Southwest of Ireland - West (Division 27.7.k) - Southwest of Ireland - East (Division 27.7.j)","asfis:WHG+fao:27.7.b;fao:27.7.c;fao:27.7.e;fao:27.7.f;fao:27.7.g;fao:27.7.h;fao:27.7.j;fao:27.7.k","Whiting - West of Ireland, Porcupine Bank, Western English Channel, Bristol Channel, Celtic Sea and Southwest of Ireland","assessment unit","approved","fao:27","false",,"10422","WHITVIIbce-k","1377","sdg-bel-fra-gbr-irl-3"
"19b649d4-7f44-3eb5-a729-558834121403","Solea solea - Celtic Sea South (Division 27.7.h) - Southwest of Ireland - West (Division 27.7.k) - Southwest of Ireland - East (Division 27.7.j)","asfis:SOL+fao:27.7.h;fao:27.7.j;fao:27.7.k","Sole - Celtic Sea South and Southwest of Ireland","assessment unit","approved","fao:27","false",,"10432","SOLEVIIh-k","767","sdg-bel-fra-gbr-irl-1"
"42782f1c-7e36-39f3-ae39-ded7c40278e0","Scophthalmus rhombus - Western English Channel (Division 27.7.e) - Eastern English Channel (Division 27.7.d) - Skagerrak and Kattegat (Division 27.3.a) - North Sea (Subarea 27.4)","asfis:BLL+fao:27.3.a;fao:27.4;fao:27.7.d;fao:27.7.e","Brill - North Sea, Skagerrak, Kattegat and English Channel","assessment unit","approved","fao:27","false",,"13697","BRILLIIIa-IV-VIIde","750","sdg-bel-deu-dnk-fra-gbr-nld-nor-swe-2"
"461a4be8-7f61-38ff-bc34-b888e55ee645","Merluccius bilinearis - Atlantic, Northwest / 21.4.V - Atlantic, Northwest / 21.4.W - Atlantic, Northwest / 21.4.X","asfis:HKS+fao:21.4.V;fao:21.4.W;fao:21.4.X","Silver hake Scotian Shelf and Bay of Fundy","assessment unit","approved","fao:21","false",,,"SHAKE4VWX","1696","sdg-can-23"
